date,Open,High,Low,Close,Volume
2021-10-18,58.540000915527344,58.540000915527344,58.540000915527344,58.540000915527344,0
2021-10-19,54.52000045776367,54.52000045776367,54.52000045776367,54.52000045776367,0
2021-10-20,57.7599983215332,57.7599983215332,57.7599983215332,57.7599983215332,0
2021-10-21,57.959999084472656,57.959999084472656,57.959999084472656,57.959999084472656,0
2021-10-22,58.25,58.25,58.25,58.25,0
2021-10-25,58.959999084472656,58.959999084472656,58.959999084472656,58.959999084472656,0
2021-10-26,59.779998779296875,59.779998779296875,59.779998779296875,59.779998779296875,0
2021-10-27,59.880001068115234,59.880001068115234,59.880001068115234,59.880001068115234,0
2021-10-28,58.54999923706055,58.54999923706055,58.54999923706055,58.54999923706055,0
2021-10-29,58.70000076293945,58.70000076293945,58.70000076293945,58.70000076293945,0
2021-11-01,56.91999816894531,56.91999816894531,56.91999816894531,56.91999816894531,0
2021-11-02,59.43000030517578,59.43000030517578,59.43000030517578,59.43000030517578,0
2021-11-03,59.79999923706055,59.79999923706055,59.79999923706055,59.79999923706055,0
2021-11-04,60.279998779296875,60.29999923706055,59.939998626708984,60.290000915527344,50428
2021-11-05,60.04999923706055,60.79999923706055,59.75,59.54999923706055,4400
2021-11-08,61.0,61.119998931884766,60.25,60.689998626708984,23893
2021-11-09,61.150001525878906,61.150001525878906,59.849998474121094,60.540000915527344,1000
2021-11-10,61.36000061035156,61.36000061035156,61.36000061035156,63.290000915527344,9
2021-11-11,65.16000366210938,65.16000366210938,63.400001525878906,64.01499938964844,1910
2021-11-12,64.5999984741211,64.5999984741211,63.75,63.53499984741211,1230
2021-11-15,64.80999755859375,66.08999633789062,64.69999694824219,66.56500244140625,6400
2021-11-16,67.01000213623047,69.0,67.01000213623047,67.71499633789062,16009
2021-11-17,68.0,68.73999786376953,67.69999694824219,67.58499908447266,4310
2021-11-18,67.0,69.05000305175781,66.63999938964844,69.0199966430664,2157
2021-11-19,70.16999816894531,70.16999816894531,69.30000305175781,69.53500366210938,2250
2021-11-22,70.86000061035156,71.51000213623047,69.8499984741211,70.08999633789062,7412
2021-11-23,70.16000366210938,70.73999786376953,68.64095306396484,69.29499816894531,2124
2021-11-24,70.0199966430664,73.55999755859375,69.5,73.05999755859375,11050
2021-11-25,73.4000015258789,74.63999938964844,72.62000274658203,74.74500274658203,837
2021-11-26,72.76000213623047,73.94000244140625,72.73999786376953,73.33000183105469,976
2021-11-29,73.33000183105469,75.83999633789062,73.33000183105469,74.37000274658203,25600
2021-11-30,74.94999694824219,75.93000030517578,74.94999694824219,75.47000122070312,22829
2021-12-01,75.95999908447266,77.43000030517578,75.55000305175781,77.11499786376953,2724
2021-12-02,90.0,90.0,77.08999633789062,79.78500366210938,2799
2021-12-03,81.77999877929688,81.77999877929688,79.20999908447266,78.51000213623047,395
2021-12-06,80.0999984741211,81.79000091552734,80.0999984741211,81.3550033569336,6283
2021-12-07,83.44000244140625,85.5,74.49347686767578,85.1449966430664,5403
2021-12-08,86.87999725341797,90.80999755859375,86.87999725341797,90.12000274658203,4783
2021-12-09,90.61000061035156,90.61000061035156,80.8499984741211,80.65499877929688,18294
2021-12-10,82.0,83.26000213623047,80.44000244140625,83.45999908447266,5255
2021-12-13,85.94999694824219,86.52999877929688,81.83999633789062,82.33499908447266,14506
2021-12-14,82.19999694824219,83.86781311035156,79.0,79.83999633789062,2053
2021-12-15,79.87000274658203,81.29000091552734,79.87000274658203,80.57499694824219,4969
2021-12-16,81.06999969482422,85.0,80.87000274658203,84.7750015258789,2724
2021-12-17,86.0199966430664,86.0199966430664,74.86000061035156,73.53500366210938,11366
2021-12-20,75.37999725341797,79.55000305175781,74.80000305175781,80.11000061035156,2783
2021-12-21,84.0,84.0,79.0,80.0,3458
2021-12-22,76.30000305175781,79.7699966430664,75.76000213623047,76.8949966430664,6145
2021-12-23,76.1500015258789,76.1500015258789,74.0,74.20500183105469,1131
