date,Open,High,Low,Close,Volume
2020-07-31,14.202691349399515,14.202691349399515,14.057075500488281,14.057075500488281,9900
2020-08-03,13.974950756743254,14.116425514221191,13.974950756743254,14.116425514221191,5100
2020-08-04,14.07846937105672,14.368320269121186,14.009457001745853,14.281365394592285,1600
2020-08-05,14.285505148430103,14.423528557894803,14.285505148430103,14.37522029876709,11000
2020-08-06,14.49944366946336,14.506345038039006,14.147481769914197,14.18681812286377,2900
2020-08-07,14.237195838938797,14.237195838938797,13.940444910711054,14.078468322753906,1400
2020-08-10,14.147481550741846,14.29930770814958,14.144031524658201,14.144031524658203,5000
2020-08-11,14.21649470479518,14.271704339294711,14.0094575881958,14.0094575881958,4200
2020-08-12,13.905937194824219,13.98185092226342,13.871431673061643,13.905937194824219,2300
2020-08-13,13.940443871110592,14.050863119030966,13.888684272766113,13.888684272766113,2100
2020-08-14,13.80242068316637,13.905938575029836,13.80242068316637,13.885235786437988,2300
2020-08-17,14.25099798751132,14.285504826325452,14.085369110107422,14.085369110107422,2900
2020-08-18,14.212352752685547,14.212352752685547,14.212352752685547,14.212352752685547,100
2020-08-19,14.2026921917609,14.2026921917609,14.112977027893066,14.112977027893066,900
2020-08-20,14.009457162665141,14.016358531305645,13.926643371582031,13.926643371582031,29400
2020-08-21,13.857629402817487,13.857629402817487,13.748590950000079,13.850728034973145,4100
2020-08-24,14.513244675201587,14.602959823379146,14.269631527119756,14.482189178466797,7400
2020-08-25,15.017034889328611,15.017034889328611,14.65817161108566,14.963895797729492,9100
2020-08-26,15.113651474333462,15.134355580719255,14.837603304030406,14.879010200500488,24400
2020-08-27,15.175760676541165,15.175760676541165,14.63746582109433,14.785841941833496,1100
2020-08-28,15.438006086915278,15.893485804369794,15.14263335426804,15.208195686340332,2500
2020-08-31,15.182662875462936,15.182662875462936,15.00668258948815,15.09018611907959,2400
2020-09-01,15.099849109188996,15.099849109188996,14.66507339477539,14.66507339477539,4500
2020-09-02,14.665073502185193,14.823801040649412,14.608483066034612,14.823801040649414,1400
2020-09-03,15.079144461715279,15.079144461715279,14.968725204467773,14.968725204467773,600
2020-09-04,15.030836606501651,15.030836606501651,14.49254172567934,14.569145202636719,6200
2020-09-08,14.437330681471016,14.575355401383678,13.961146845703736,14.268250465393066,11700
2020-09-09,14.492542076168771,14.554653076085039,14.28550628731551,14.30137825012207,18400
2020-09-10,14.689226150512694,14.689226150512694,14.689226150512694,14.689226150512695,100
2020-09-11,14.799646377563477,14.799646377563477,14.799646377563477,14.799646377563477,200
2020-09-14,15.244772784559666,15.80377041826768,15.099846692086432,15.700252532958984,7500
2020-09-15,15.720957266872993,15.748561423121481,15.258576132073747,15.299983024597168,7300
2020-09-16,15.527723427577682,15.527723427577682,15.444218581511558,15.525652885437012,300
2020-09-17,15.20336569697941,15.20336569697941,14.95492172241211,14.95492172241211,3000
2020-09-18,15.003230825226405,15.003230825226405,14.837601938290032,14.906614303588867,75700
2020-09-21,14.416627878096445,14.45113471933567,14.0619057112259,14.205451011657715,46400
2020-09-22,14.223394575043274,14.789293598114725,14.181986366305331,14.71683120727539,45800
2020-09-23,14.313109706710357,14.485639960623889,14.202690449509808,14.240647315979004,30100
2020-09-24,13.981852348995094,14.354517024003107,13.747211091422805,14.216493606567383,11900
2020-09-25,14.064665586659212,14.133677950831318,14.043962798818534,14.078468322753906,20700
2020-09-28,14.29930859198872,14.658171876735341,14.291027739095272,14.597441673278809,3600
2020-09-29,14.320011457847135,14.38212245622143,14.320011457847135,14.354516983032227,1700
2020-09-30,14.320010723904371,14.48563960564638,14.320010723904371,14.347616195678711,6100
2020-10-01,14.299306202764605,14.299306202764605,14.147480061340639,14.271012306213379,3300
2020-10-02,14.244098511926065,14.482191124317067,14.23650740126895,14.337265014648438,8100
2020-10-05,14.46493673344055,14.46493673344055,14.394544880504581,14.413178443908691,1700
2020-10-06,14.471838252956495,14.471838252956495,14.320012092590332,14.320012092590332,10700
2020-10-07,14.623663857850715,14.83069962424128,14.302067756652834,14.302067756652832,5400
2020-10-08,14.485640244273494,14.485640244273494,14.205451011657713,14.205451011657715,7800
2020-10-09,14.188889453842298,14.2026921917609,13.954248174432228,14.112977027893066,7000
2020-10-12,14.037060852068947,14.161282839197199,13.9956539617933,14.085369110107422,800
2020-10-13,13.968048655724294,13.968048655724294,13.850728034973146,13.850728034973145,6100
2020-10-14,13.933543685003746,14.08536983469229,13.88523542448018,13.985301971435547,800
2020-10-15,13.72650602592856,14.458035220723012,13.664395031723345,13.74030876159668,7300
2020-10-16,13.703733910082704,13.774815504094605,13.681650320839214,13.69890308380127,2000
2020-10-19,13.754113096777253,13.816224098205566,13.754113096777253,13.816224098205566,5700
2020-10-20,13.643692788967133,13.71270515376031,13.512569427490233,13.512569427490234,11000
2020-10-21,13.38144588470459,13.409051356768378,13.181311477447563,13.38144588470459,6300
2020-10-22,13.398700709111122,13.45045899766127,13.395249366760254,13.395249366760254,1100
2020-10-23,13.65956476756079,14.09227120281014,13.65956476756079,13.985301971435547,1300
