label,n,price_mean,price_std,sMAPE,RMSE,bias,quartile,res_anom_mean
LightGBM,2185,44.582,20.354,14.191,6.565,-0.316,Q1 res (≤-0.03),-0.038
LightGBM,1680,52.379,38.302,15.587,7.318,0.514,Q2 res (-0.03–0),-0.01
LightGBM,2592,46.419,28.624,8.446,6.851,-0.065,Q3 res (0–0.05),0.026
LightGBM,2279,45.436,25.696,11.52,11.775,-0.273,Q4 res (≥0.05),0.08
