step,window_start,window_end,n_hours,naive_MAE,naive_RMSE,naive_sMAPE,lgbm_MAE,lgbm_RMSE,lgbm_sMAPE
1,2025-01-01,2025-01-07,168,9.774,13.531,50.63,2.988,5.537,15.2
2,2025-01-08,2025-01-14,168,22.364,35.316,68.52,4.958,11.377,16.32
3,2025-01-15,2025-01-21,168,1.955,2.811,33.93,0.737,1.155,12.89
4,2025-01-22,2025-01-28,168,42.858,66.262,95.78,7.889,17.01,21.46
5,2025-01-29,2025-02-04,168,11.756,21.598,43.72,2.314,4.528,11.88
6,2025-02-05,2025-02-11,168,7.628,11.406,38.98,2.295,3.468,11.55
7,2025-02-12,2025-02-18,168,33.256,45.863,50.58,8.842,14.241,14.07
8,2025-02-19,2025-02-25,168,13.518,17.595,69.5,2.979,5.666,16.53
9,2025-02-26,2025-03-04,168,6.043,9.423,41.75,2.284,4.401,16.47
10,2025-03-05,2025-03-11,168,8.884,12.632,60.96,3.416,5.807,24.26
11,2025-03-12,2025-03-18,168,20.363,33.904,62.94,4.119,7.683,17.84
12,2025-03-19,2025-03-25,168,7.105,10.109,45.73,3.412,6.572,22.47
13,2025-03-26,2025-04-02,168,10.379,13.39,72.11,3.223,5.301,24.99
14,2025-04-02,2025-04-09,168,11.575,15.335,60.87,3.936,5.875,24.62
15,2025-04-09,2025-04-16,168,7.346,10.918,63.3,3.061,4.497,31.12
16,2025-04-16,2025-04-23,168,4.07,5.749,87.17,1.702,3.855,31.13
17,2025-04-23,2025-04-30,168,10.48,14.454,58.14,4.223,6.398,27.74
18,2025-04-30,2025-05-07,168,7.882,13.662,97.65,3.411,6.931,48.14
19,2025-05-07,2025-05-14,168,19.347,29.672,96.55,6.645,11.425,52.24
20,2025-05-14,2025-05-21,168,4.37,7.256,76.3,2.419,3.918,42.14
21,2025-05-21,2025-05-28,168,5.963,8.329,99.25,1.961,3.113,42.5
22,2025-05-28,2025-06-04,168,9.217,11.631,88.67,3.562,5.208,44.8
23,2025-06-04,2025-06-11,168,8.751,12.604,60.97,3.316,5.641,21.25
24,2025-06-11,2025-06-18,168,9.051,13.744,57.23,3.184,4.935,25.44
25,2025-06-18,2025-06-25,168,5.139,7.302,122.06,1.932,3.568,61.96
26,2025-06-25,2025-07-02,168,3.979,6.557,86.09,1.302,2.673,44.64
27,2025-07-02,2025-07-09,168,1.385,1.995,64.57,0.734,1.201,33.98
28,2025-07-09,2025-07-16,168,2.49,3.066,68.57,0.717,1.093,25.41
29,2025-07-16,2025-07-23,168,2.735,3.649,34.87,1.094,1.662,12.59
30,2025-07-23,2025-07-30,168,3.672,5.023,46.32,1.31,2.138,17.44
31,2025-07-30,2025-08-06,168,4.956,6.02,74.26,1.505,2.475,28.81
32,2025-08-06,2025-08-13,168,2.766,4.072,103.69,1.235,2.282,60.66
33,2025-08-13,2025-08-20,168,2.299,3.518,39.07,0.817,1.555,15.83
34,2025-08-20,2025-08-27,168,4.697,7.27,57.76,1.639,3.206,21.82
35,2025-08-27,2025-09-03,168,6.373,10.211,46.2,2.599,4.645,17.95
36,2025-09-03,2025-09-10,168,9.685,15.637,47.23,3.685,6.521,17.4
37,2025-09-10,2025-09-17,168,8.936,14.12,61.25,2.763,4.127,24.69
38,2025-09-17,2025-09-24,168,9.527,13.956,72.96,3.65,5.922,33.67
39,2025-09-24,2025-10-01,168,10.155,17.517,61.28,3.603,7.58,29.48
40,2025-10-01,2025-10-08,168,9.333,12.104,90.44,2.133,3.444,24.3
41,2025-10-08,2025-10-15,168,7.122,8.867,44.48,2.613,4.244,15.77
42,2025-10-15,2025-10-22,168,13.068,17.903,43.3,2.836,4.615,12.8
43,2025-10-22,2025-10-28,168,16.233,23.792,51.19,4.115,6.965,16.01
44,2025-10-29,2025-11-04,168,9.431,11.641,30.1,2.618,4.062,8.99
45,2025-11-05,2025-11-11,168,9.553,12.739,27.91,2.409,4.134,6.52
46,2025-11-12,2025-11-18,168,15.302,23.474,37.78,3.891,7.308,8.93
47,2025-11-19,2025-11-25,168,30.179,41.741,42.65,6.89,12.813,8.27
48,2025-11-26,2025-12-02,168,12.098,15.41,25.95,2.595,4.292,6.06
49,2025-12-03,2025-12-09,168,22.872,30.924,33.59,4.398,6.663,6.33
50,2025-12-10,2025-12-16,168,10.208,14.902,19.62,1.867,2.742,4.02
51,2025-12-17,2025-12-23,168,12.405,17.911,30.16,2.044,3.188,5.51
52,2025-12-24,2025-12-30,168,8.068,14.63,16.99,1.663,2.907,3.75
