label,n,price_mean,price_std,sMAPE,RMSE,bias,cell
LightGBM,3527,49.158,28.298,9.462,10.714,-0.157,High res / High TTF
LightGBM,1008,46.351,18.633,9.538,5.551,-0.307,High res / Low TTF
LightGBM,864,28.917,17.07,18.27,4.746,-0.4,Low res  / High TTF
LightGBM,3337,49.203,31.563,13.956,7.061,0.176,Low res  / Low TTF
