step,window_start,window_end,n_hours,naive_MAE,naive_RMSE,naive_sMAPE,lgbm_MAE,lgbm_RMSE,lgbm_sMAPE
1,2025-01-01,2025-01-07,168,2.979,3.704,33.08,0.57,0.936,6.4
2,2025-01-08,2025-01-14,168,3.097,3.84,42.39,0.666,1.205,8.73
3,2025-01-15,2025-01-21,168,1.219,1.589,43.18,0.209,0.288,7.96
4,2025-01-22,2025-01-28,168,28.811,65.047,65.73,4.195,13.292,20.24
5,2025-01-29,2025-02-04,168,2.691,4.107,36.8,0.524,1.101,7.08
6,2025-02-05,2025-02-11,168,0.492,0.755,9.26,0.218,0.399,4.03
7,2025-02-12,2025-02-18,168,8.844,15.619,51.02,3.631,8.837,20.7
8,2025-02-19,2025-02-25,168,3.685,7.281,41.98,0.846,2.661,11.32
9,2025-02-26,2025-03-04,168,1.013,2.01,30.56,0.425,1.342,11.01
10,2025-03-05,2025-03-11,168,5.339,11.867,68.11,2.044,6.954,19.68
11,2025-03-12,2025-03-18,168,6.774,11.603,69.13,1.855,3.94,23.79
12,2025-03-19,2025-03-25,168,4.419,9.265,68.63,2.072,6.146,25.65
13,2025-03-26,2025-04-02,168,3.345,5.138,80.78,0.938,1.969,28.73
14,2025-04-02,2025-04-09,168,2.513,4.129,70.3,1.014,2.263,33.87
15,2025-04-09,2025-04-16,168,0.254,0.411,25.83,0.175,0.266,18.11
16,2025-04-16,2025-04-23,168,0.267,0.432,20.02,0.148,0.301,9.81
17,2025-04-23,2025-04-30,168,0.787,1.454,33.2,0.601,1.498,21.7
18,2025-04-30,2025-05-07,168,5.668,11.745,75.1,1.94,4.483,29.08
19,2025-05-07,2025-05-14,168,15.469,27.033,93.68,6.771,14.324,61.8
20,2025-05-14,2025-05-21,168,1.857,2.558,55.88,1.493,2.133,40.31
21,2025-05-21,2025-05-28,168,1.542,2.07,57.1,0.854,1.39,30.17
22,2025-05-28,2025-06-04,168,3.975,5.68,116.7,2.364,3.758,79.02
23,2025-06-04,2025-06-11,168,5.38,9.651,87.28,2.088,4.343,44.42
24,2025-06-11,2025-06-18,168,5.902,10.725,86.12,2.156,4.363,50.69
25,2025-06-18,2025-06-25,168,3.459,4.925,97.2,1.202,1.858,50.01
26,2025-06-25,2025-07-02,168,1.533,2.028,79.09,0.628,1.006,37.03
27,2025-07-02,2025-07-09,168,2.426,2.987,80.59,1.076,1.527,39.72
28,2025-07-09,2025-07-16,168,1.348,1.809,40.36,0.812,1.346,24.34
29,2025-07-16,2025-07-23,168,0.752,1.2,33.92,0.392,0.571,19.66
30,2025-07-23,2025-07-30,168,0.352,0.462,18.23,0.218,0.308,11.47
31,2025-07-30,2025-08-06,168,0.73,1.074,42.54,0.288,0.434,22.22
32,2025-08-06,2025-08-13,168,0.919,1.163,73.3,0.267,0.378,24.18
33,2025-08-13,2025-08-20,168,0.447,0.633,29.25,0.196,0.325,12.79
34,2025-08-20,2025-08-27,168,1.571,2.792,51.73,0.677,1.364,23.39
35,2025-08-27,2025-09-03,168,1.943,3.036,50.65,0.408,0.756,12.67
36,2025-09-03,2025-09-10,168,1.695,2.636,29.23,0.751,1.475,11.85
37,2025-09-10,2025-09-17,168,2.779,3.716,70.09,0.731,1.082,25.17
38,2025-09-17,2025-09-24,168,1.279,1.684,35.04,0.463,0.679,13.44
39,2025-09-24,2025-10-01,168,1.825,2.343,50.38,0.621,1.005,17.03
40,2025-10-01,2025-10-08,168,3.877,5.494,89.23,1.087,1.99,36.27
41,2025-10-08,2025-10-15,168,2.439,3.103,97.73,0.9,1.532,47.62
42,2025-10-15,2025-10-22,168,1.771,2.366,72.46,0.655,1.076,28.92
43,2025-10-22,2025-10-28,168,6.201,13.661,68.59,2.334,6.29,26.07
44,2025-10-29,2025-11-04,168,4.13,6.919,40.74,1.101,2.046,12.59
45,2025-11-05,2025-11-11,168,9.356,17.625,44.45,2.081,4.506,9.84
46,2025-11-12,2025-11-18,168,16.492,26.221,53.95,3.424,7.25,10.21
47,2025-11-19,2025-11-25,168,36.985,48.981,60.86,8.699,14.407,12.0
48,2025-11-26,2025-12-02,168,13.918,22.837,79.23,2.888,5.17,29.34
49,2025-12-03,2025-12-09,168,33.158,49.339,71.68,6.048,11.718,16.61
50,2025-12-10,2025-12-16,168,18.508,25.834,57.34,2.914,4.793,10.74
51,2025-12-17,2025-12-23,168,7.621,10.927,36.45,1.313,2.085,7.4
52,2025-12-24,2025-12-30,168,7.245,11.515,81.74,1.844,3.518,31.66
