label,n,price_mean,price_std,sMAPE,RMSE,bias,cell
LightGBM,3431,5.725,13.53,28.55,5.599,-0.0,High res / High TTF
LightGBM,1008,3.119,4.931,28.356,1.698,-0.007,High res / Low TTF
LightGBM,960,5.43,5.988,24.931,2.515,-0.157,Low res  / High TTF
LightGBM,3337,14.069,25.121,20.974,4.974,0.328,Low res  / Low TTF
