step,window_start,window_end,n_hours,naive_MAE,naive_RMSE,naive_sMAPE,lgbm_MAE,lgbm_RMSE,lgbm_sMAPE
1,2025-01-01,2025-01-07,168,18.317,27.444,35.25,5.005,9.555,9.33
2,2025-01-08,2025-01-14,168,28.966,41.88,44.93,5.883,10.224,9.79
3,2025-01-15,2025-01-21,168,15.819,39.819,20.39,8.944,29.262,10.1
4,2025-01-22,2025-01-28,168,26.127,42.035,34.68,5.6,13.259,7.99
5,2025-01-29,2025-02-04,168,19.84,29.432,26.94,9.183,15.031,12.4
6,2025-02-05,2025-02-11,168,17.329,27.578,24.46,4.179,7.658,5.88
7,2025-02-12,2025-02-18,168,31.227,39.687,29.37,10.515,15.421,9.3
8,2025-02-19,2025-02-25,168,9.868,15.301,15.16,2.564,4.878,4.05
9,2025-02-26,2025-03-04,168,5.985,14.493,11.25,1.942,5.404,3.98
10,2025-03-05,2025-03-11,168,6.351,10.36,24.11,2.343,5.47,8.56
11,2025-03-12,2025-03-18,168,10.537,22.138,17.11,3.239,7.797,5.56
12,2025-03-19,2025-03-25,168,8.514,13.844,21.13,2.902,5.974,6.78
13,2025-03-26,2025-04-02,168,8.389,14.357,23.98,3.563,7.148,10.89
14,2025-04-02,2025-04-09,168,6.353,9.78,14.58,3.252,7.147,6.84
15,2025-04-09,2025-04-16,168,12.177,17.208,42.77,3.227,7.152,12.03
16,2025-04-16,2025-04-23,168,4.488,6.625,16.15,1.812,2.755,6.3
17,2025-04-23,2025-04-30,168,7.507,10.808,17.66,3.07,4.845,7.39
18,2025-04-30,2025-05-07,168,13.953,20.378,46.05,4.455,6.908,19.16
19,2025-05-07,2025-05-14,168,16.478,22.129,32.3,6.74,10.008,14.37
20,2025-05-14,2025-05-21,168,8.859,11.574,22.1,3.386,4.794,8.73
21,2025-05-21,2025-05-28,168,11.425,15.429,36.77,3.973,6.135,14.82
22,2025-05-28,2025-06-04,168,10.973,16.119,35.64,3.491,6.471,15.37
23,2025-06-04,2025-06-11,168,7.179,10.662,20.11,2.523,3.959,6.51
24,2025-06-11,2025-06-18,168,5.188,10.603,17.81,1.757,3.884,9.08
25,2025-06-18,2025-06-25,168,7.575,12.242,36.08,2.967,5.727,18.14
26,2025-06-25,2025-07-02,168,6.117,9.037,42.99,1.871,2.965,20.18
27,2025-07-02,2025-07-09,168,4.75,6.95,30.3,1.429,2.692,11.82
28,2025-07-09,2025-07-16,168,8.235,12.589,67.49,2.506,5.128,32.96
29,2025-07-16,2025-07-23,168,3.489,4.074,67.09,0.891,1.319,25.54
30,2025-07-23,2025-07-30,168,2.366,2.973,17.53,0.669,1.412,5.73
31,2025-07-30,2025-08-06,168,6.82,9.253,47.2,2.441,3.895,28.97
32,2025-08-06,2025-08-13,168,1.891,2.644,54.92,1.051,1.569,31.06
33,2025-08-13,2025-08-20,168,8.721,12.379,49.46,3.447,6.746,16.18
34,2025-08-20,2025-08-27,168,12.562,19.049,28.12,4.043,7.038,9.32
35,2025-08-27,2025-09-03,168,13.586,20.894,23.49,4.883,8.695,8.85
36,2025-09-03,2025-09-10,168,19.256,27.495,43.55,5.942,11.416,14.24
37,2025-09-10,2025-09-17,168,15.052,20.719,51.61,5.614,8.437,25.09
38,2025-09-17,2025-09-24,168,15.264,20.516,58.69,4.607,6.729,20.35
39,2025-09-24,2025-10-01,168,5.118,8.564,8.66,2.217,3.799,3.79
40,2025-10-01,2025-10-08,168,15.086,22.793,61.33,3.261,5.487,20.76
41,2025-10-08,2025-10-15,168,6.646,10.463,17.03,2.084,3.556,5.51
42,2025-10-15,2025-10-22,168,4.627,7.262,8.65,2.069,3.459,3.96
43,2025-10-22,2025-10-28,168,12.588,17.892,38.19,4.709,7.278,16.84
44,2025-10-29,2025-11-04,168,11.79,17.463,28.7,2.822,4.207,7.79
45,2025-11-05,2025-11-11,168,5.267,9.527,11.92,1.295,1.968,2.16
46,2025-11-12,2025-11-18,168,11.79,15.9,21.15,2.787,4.532,4.92
47,2025-11-19,2025-11-25,168,30.459,48.551,25.06,8.562,17.012,6.41
48,2025-11-26,2025-12-02,168,16.646,33.968,15.4,3.484,7.539,3.74
49,2025-12-03,2025-12-09,168,11.424,16.474,14.1,3.976,7.075,4.67
50,2025-12-10,2025-12-16,168,7.663,10.74,13.07,1.76,2.731,3.26
51,2025-12-17,2025-12-23,168,8.656,14.631,20.02,2.078,3.628,5.02
52,2025-12-24,2025-12-30,168,2.901,3.772,4.51,1.202,1.661,1.8
