label,n,price_mean,price_std,sMAPE,RMSE,bias,cell
LightGBM,3791,64.165,36.754,10.622,12.702,0.403,High res / High TTF
LightGBM,744,58.029,22.264,14.178,7.923,-0.523,High res / Low TTF
LightGBM,600,63.718,23.511,17.47,8.628,-0.734,Low res  / High TTF
LightGBM,3601,68.371,29.325,12.696,9.135,0.296,Low res  / Low TTF
