label,n,price_mean,price_std,sMAPE,RMSE,bias,quartile,res_anom_mean
LightGBM,2184,50.866,29.293,26.156,10.879,-0.468,Q1 res (≤-0.12),-0.141
LightGBM,1681,48.956,22.778,18.682,8.692,-0.545,Q2 res (-0.12–0),-0.056
LightGBM,2687,67.38,36.436,7.477,11.791,0.712,Q3 res (0–0.09),0.055
LightGBM,2184,61.703,33.81,10.624,11.238,0.398,Q4 res (≥0.09),0.113
